# OSM ways matched along the freyja_walk route (20 m samples, nearest highway=* way within 30 m, named preferred within +12 m).
# from|to|name|highway   — along-route metres. Source: Overpass, fetched 19 Sep 2026 from the deployed route (1789 pts, 30323 m).
0|120|Maida Vale Road|residential
140|140|Maida Vale road|residential
160|1100|Evans Bay Parade|secondary
1120|2840|Oriental Parade|secondary
2860|2940|Herd Street|unclassified
2960|3080||cycleway
3100|3100||footway
3120|3120||footway
3140|3140||cycleway
3160|3520|Te Papa Promenade|cycleway
3540|3680|Taranaki Street Wharf|cycleway
3700|3720||cycleway
3740|3740||cycleway
3760|3760||pedestrian
3780|3800||cycleway
3820|3820||cycleway
3840|4080||cycleway
4100|4100||pedestrian
4120|4120||pedestrian
4140|4200||cycleway
4220|4240||cycleway
4260|4260||pedestrian
4280|4280||cycleway
4300|4320||pedestrian
4340|4340||cycleway
4360|4420|Ferry Jetty|pedestrian
4440|4460|Lady Elizabeth Lane|living_street
4480|4480|Custom House Plaza|pedestrian
4500|4500|Lady Elizabeth Lane|living_street
4520|4520|Custom House Plaza|pedestrian
4540|4700|Waterloo Quay|primary
4720|4820|Bunny Street|tertiary
4840|4840|Thorndon Quay Cycleway|cycleway
4860|4920|Featherston Street|secondary
4940|4960|Thorndon Quay Cycleway|cycleway
4980|4980|Thorndon Quay|secondary
5000|5040|Thorndon Quay Cycleway|cycleway
5060|5060|Thorndon Quay|tertiary
5080|5300|Thorndon Quay Cycleway|cycleway
5320|5340|Thorndon Quay|secondary
5360|5360|Gateway Lane|service
5380|6100|Thorndon Quay Cycleway|cycleway
6120|6120|Wellington Urban Motorway|motorway
6140|6340|Thorndon Quay Cycleway|cycleway
6360|6360|Hutt Road Cycleway|cycleway
6380|6620|Hutt Road|secondary
6640|6680|Hutt Road Cycleway|cycleway
6700|6760|Hutt Road|secondary
6780|6780|Hutt Road Cycleway|cycleway
6800|6800|Hutt Road Walkway|footway
6820|6880|Hutt Road walkway|footway
6900|6940|Hutt Road Cycleway|cycleway
6960|6960|Aotea Quay|primary
6980|6980|Hutt Road|primary
7000|7080|Hutt Road Cycleway|cycleway
7100|7380|Hutt Road|primary
7400|7400|Hutt Road Cycleway|cycleway
7420|7460|Hutt Road|primary
7480|7540|Kaiwharawhara Road|secondary
7560|7600|Pickering Street|residential
7620|7620|Pickering Lane|proposed
7640|7660|Fore Street|unclassified
7680|7700|Cameron Street|residential
7720|7740|Fore Street|residential
7760|7760|Kaiwharawhara Bridleway|footway
7780|7800|Fore Street|residential
7820|7920|Winchester Street|residential
7940|7960||cycleway
7980|8540|Kaiwharawhara Bridleway|cycleway
8560|8600|Calcutta Street|residential
8620|9840|Nicholson Road|residential
9860|10300|Box Hill|secondary
10320|10360|Burma Road|secondary
10380|10400|Jalna Avenue|residential
10420|10440|Kohima Drive|residential
10460|12000|Burma Road|secondary
12020|12020|Haumia Street|residential
12040|12840|Moorefield Road|secondary
12860|12860|Hawea Street|service
12880|12960|Moorefield Road|secondary
12980|12980||service
13000|13000||service
13020|13080|Bill Cutting Place|residential
13100|13160|Johnsonville Road|secondary
13180|13180|Burgess Road|residential
13200|13200|Johnsonville Road|secondary
13220|13280|Frank Johnson Street|service
13300|13320|Frank Johnson Street to Helston Road Walkway|footway
13340|13480|Helston Road|tertiary
13500|13500|Arthur Carman Street|residential
13520|13620|Helston Road|tertiary
13640|14260|Stewart Drive|tertiary
14280|14280|Quigley Street|residential
14300|14640|Stewart Drive|tertiary
14660|14660|Batchelor Street|residential
14680|14780|Stewart Drive|tertiary
14800|14820|Bracken Road|tertiary
14840|14840|Rakopi Drive|service
14860|14900|Bracken Road|tertiary
14920|15460|Horokiwi Road West|tertiary
15480|15480|Colchester Crescent|residential
15500|15620|Horokiwi Road West|residential
15640|15960|Woodridge Drive|residential
15980|15980|Kentwood Drive|residential
16000|16100|Woodridge Drive|residential
16120|16440|Cedarwood Street|residential
16460|16460|Astelia Way|residential
16480|16640|Cedarwood Street|residential
16660|16980||track
17000|17100||track
17120|17520||track
17540|17580||track
17600|17600||track
17620|17820||track
17840|19940|Horokiwi Road|unclassified
19960|19960|Grenada Grinderton|track
19980|19980|Woollaston Way|unclassified
20000|21240|Horokiwi Road|unclassified
21260|21400||unclassified
21420|22040|Horokiwi Bridleway|bridleway
22060|22240||
22260|22560|Horokiwi Bridleway|bridleway
22580|23100||path
23120|23920||path
23940|24460|Dress Circle tramping track|path
24480|24580||path
24600|24600||path
24620|24620||path
24640|24700|Dress Circle tramping track|path
24720|26900|Belmont Trig tramping track|path
26920|27040|Stratton Street|unclassified
27060|27060|Belmont Trig tramping track|path
27080|28680|Stratton Street|unclassified
28700|29840|Cottle Park Drive|unclassified
29860|29880|Normandale Road|unclassified
29900|30160||residential
30180|30320||
# side of cross streets touching the route (left/right of the direction of travel), from way centroids:
# Lady Elizabeth Lane:right Custom House Plaza:left Gateway Lane:right Wellington Urban Motorway:right(overhead) Aotea Quay:ahead
# Pickering Street:right Pickering Lane:left Cameron Street:left Kaiwharawhara Bridleway(7760):right Calcutta Street:left
# Jalna Avenue:left Kohima Drive:left Haumia Street:right Hawea Street:left Burgess Road:right Arthur Carman Street:right
# Quigley Street:right Batchelor Street:right Rakopi Drive:left Colchester Crescent:left Kentwood Drive:left Astelia Way:left
# Grenada Grinderton:left Woollaston Way:left Belmont Trig tramping track(27060):right Normandale Road:left
